iter	Passed	Remaining
0	0	87
1	1	83
2	2	84
3	3	86
4	4	86
5	5	86
6	6	83
7	7	81
8	7	79
9	8	77
10	9	77
11	10	76
12	11	75
13	12	73
14	12	72
15	13	71
16	14	70
17	15	69
18	16	69
19	16	67
20	17	66
21	18	65
22	19	64
23	20	63
24	21	63
25	21	62
26	22	61
27	23	60
28	24	59
29	25	58
30	26	58
31	26	57
32	27	56
33	28	55
34	29	54
35	30	54
36	31	53
37	31	52
38	32	51
39	33	50
40	34	49
41	34	48
42	35	47
43	36	46
44	37	45
45	38	45
46	39	44
47	40	43
48	41	43
49	42	42
50	42	41
51	43	40
52	44	39
53	45	38
54	46	37
55	47	37
56	48	36
57	48	35
58	49	34
59	50	33
60	51	32
61	52	31
62	53	31
63	54	30
64	54	29
65	55	28
66	56	27
67	57	27
68	58	26
69	59	25
70	60	24
71	61	23
72	61	22
73	62	22
74	63	21
75	64	20
76	65	19
77	66	18
78	67	17
79	67	16
80	68	16
81	69	15
82	70	14
83	71	13
84	72	12
85	72	11
86	73	11
87	74	10
88	75	9
89	76	8
90	76	7
91	77	6
92	78	5
93	79	5
94	80	4
95	81	3
96	82	2
97	83	1
98	84	0
99	84	0
