iter	Passed	Remaining
0	134	134239
1	135	67619
2	136	45373
3	137	34270
4	138	27601
5	139	23158
6	140	19961
7	141	17566
8	142	15706
9	143	14252
10	145	13055
11	146	12056
12	147	11205
13	148	10474
14	149	9827
15	150	9262
16	151	8763
17	152	8323
18	153	7925
19	154	7569
20	155	7252
21	156	6962
22	157	6702
23	159	6472
24	160	6255
25	161	6051
26	162	5856
27	163	5674
28	164	5506
29	165	5348
30	166	5199
31	167	5062
32	168	4934
33	169	4810
34	170	4694
35	171	4590
36	172	4499
37	173	4403
38	175	4315
39	176	4228
40	177	4142
41	178	4061
42	179	3985
43	180	3912
44	181	3844
45	182	3775
46	183	3712
47	184	3652
48	185	3596
49	186	3546
50	187	3493
51	188	3440
52	189	3389
53	190	3339
54	191	3287
55	192	3236
56	192	3188
57	193	3141
58	194	3096
59	194	3051
60	195	3010
61	196	2969
62	197	2931
63	197	2893
64	198	2856
65	199	2820
66	200	2787
67	201	2758
68	202	2727
69	202	2696
70	203	2665
71	204	2635
72	205	2606
73	205	2577
74	206	2550
75	207	2523
76	208	2496
77	209	2470
78	209	2445
79	210	2421
80	211	2397
81	212	2374
82	212	2347
83	213	2325
84	214	2304
85	215	2285
86	215	2265
87	216	2245
88	217	2225
89	218	2206
90	218	2186
91	219	2168
92	220	2149
93	221	2131
94	221	2113
95	222	2095
96	223	2078
97	224	2062
98	224	2045
99	225	2029
100	226	2013
101	226	1997
102	227	1982
103	228	1967
104	229	1954
105	230	1940
106	230	1926
107	231	1912
108	232	1899
109	233	1886
110	233	1873
111	234	1860
112	235	1847
113	236	1834
114	236	1822
115	237	1810
116	238	1796
117	238	1784
118	239	1772
119	240	1761
120	240	1749
121	241	1737
122	242	1726
123	242	1715
124	243	1705
125	244	1695
126	245	1685
127	245	1675
128	246	1666
129	247	1656
130	248	1647
131	249	1637
132	249	1628
133	250	1618
134	251	1609
135	251	1600
136	252	1592
137	253	1583
138	254	1575
139	255	1567
140	255	1558
141	256	1549
142	257	1541
143	257	1533
144	258	1525
145	259	1518
146	260	1510
147	261	1503
148	262	1496
149	262	1489
150	263	1481
151	264	1474
152	264	1466
153	265	1459
154	266	1452
155	267	1445
156	267	1437
157	268	1430
158	269	1423
159	269	1416
160	270	1409
161	271	1402
162	271	1396
163	272	1390
164	273	1383
165	274	1377
166	274	1371
167	275	1365
168	276	1360
169	277	1354
170	278	1348
171	278	1342
172	279	1337
173	280	1331
174	281	1325
175	282	1320
176	282	1314
177	283	1309
178	284	1304
179	285	1298
180	285	1293
181	286	1288
182	287	1283
183	288	1278
184	289	1275
185	290	1271
186	291	1267
187	292	1264
188	293	1259
189	294	1255
190	295	1250
191	296	1246
192	296	1241
193	297	1236
194	298	1231
195	299	1227
196	299	1222
197	300	1218
198	301	1213
199	302	1208
200	302	1204
201	303	1200
202	304	1196
203	305	1192
204	306	1188
205	307	1184
206	308	1180
207	308	1175
208	309	1171
209	310	1167
210	310	1162
211	311	1158
212	312	1154
213	313	1150
214	314	1147
215	314	1143
216	315	1139
217	316	1135
218	317	1131
219	317	1127
220	318	1124
221	319	1121
222	320	1117
223	321	1114
224	322	1110
225	323	1106
226	323	1103
227	324	1099
228	325	1095
229	326	1091
230	326	1088
231	327	1084
232	328	1081
233	329	1077
234	329	1074
235	330	1070
236	331	1067
237	332	1063
238	332	1060
239	333	1057
240	334	1054
241	335	1051
242	336	1048
243	337	1045
244	338	1042
245	339	1039
246	339	1035
247	340	1032
248	341	1029
249	342	1026
250	342	1023
251	343	1019
252	344	1016
253	345	1013
254	345	1010
255	346	1007
256	347	1004
257	348	1001
258	349	999
259	350	996
260	351	994
261	351	991
262	352	988
263	353	985
264	354	982
265	355	979
266	355	976
267	356	974
268	357	971
269	358	968
270	359	965
271	359	962
272	360	959
273	361	957
274	361	954
275	362	951
276	363	949
277	364	946
278	365	943
279	366	941
280	366	938
281	367	936
282	368	933
283	369	930
284	369	927
285	370	925
286	371	922
287	372	919
288	372	917
289	373	914
290	374	912
291	375	909
292	375	907
293	376	904
294	377	902
295	378	900
296	379	897
297	380	895
298	381	893
299	381	891
300	382	888
301	383	886
302	384	884
303	385	881
304	385	879
305	386	876
306	387	874
307	388	872
308	388	869
309	389	867
310	390	865
311	391	862
312	391	860
313	392	858
314	393	856
315	394	854
316	395	852
317	396	850
318	397	847
319	398	845
320	398	843
321	399	841
322	400	838
323	400	836
324	401	834
325	402	832
326	404	832
327	405	831
328	406	829
329	407	827
330	408	825
331	409	824
332	410	822
333	411	821
334	412	819
335	413	817
336	414	816
337	415	814
338	416	812
339	417	810
340	418	808
341	419	807
342	420	805
343	421	803
344	422	801
345	423	800
346	424	798
347	425	796
348	426	794
349	427	793
350	428	791
351	429	790
352	430	788
353	431	786
354	432	785
355	433	783
356	434	781
357	435	780
358	436	778
359	437	776
360	438	776
361	439	775
362	441	774
363	442	773
364	443	772
365	444	770
366	446	769
367	447	768
368	448	767
369	449	766
370	450	764
371	452	763
372	453	762
373	455	761
374	456	761
375	457	759
376	459	759
377	460	758
378	462	757
379	463	756
380	464	755
381	466	754
382	467	753
383	468	751
384	470	751
385	471	750
386	473	749
387	475	749
388	476	747
389	477	746
390	478	745
391	480	744
392	481	743
393	482	742
394	483	740
395	484	739
396	486	738
397	487	737
398	488	735
399	489	734
400	491	733
401	492	732
402	493	730
403	494	729
404	495	728
405	496	726
406	497	725
407	499	724
408	500	723
409	501	722
410	502	720
411	504	719
412	505	718
413	506	716
414	507	715
415	508	714
416	509	712
417	510	711
418	511	709
419	512	708
420	514	707
421	515	706
422	516	704
423	517	703
424	518	702
425	520	700
426	520	699
427	522	697
428	523	696
429	524	694
430	525	693
431	526	691
432	527	690
433	528	689
434	530	688
435	531	687
436	533	686
437	534	686
438	536	685
439	537	683
440	538	681
441	538	680
442	539	678
443	540	677
444	541	675
445	542	673
446	543	672
447	544	671
448	545	669
449	546	668
450	547	666
451	549	665
452	550	664
453	551	662
454	552	661
455	553	660
456	554	659
457	555	657
458	556	656
459	557	655
460	559	653
461	560	652
462	561	651
463	562	650
464	563	648
465	564	647
466	565	645
467	566	643
468	567	642
469	568	640
470	569	639
471	570	637
472	571	636
473	571	634
474	572	633
475	574	632
476	575	630
477	576	629
478	577	628
479	578	626
480	579	625
481	580	623
482	581	622
483	582	621
484	583	619
485	584	618
486	585	616
487	586	615
488	587	613
489	588	612
490	589	611
491	590	610
492	592	608
493	593	607
494	594	606
495	595	605
496	596	604
497	597	602
498	598	601
499	599	599
500	600	598
501	601	597
502	603	595
503	604	594
504	605	593
505	606	592
506	607	590
507	608	589
508	609	588
509	610	586
510	611	585
511	612	583
512	613	582
513	614	581
514	615	579
515	616	578
516	617	576
517	618	575
518	619	574
519	620	573
520	621	571
521	622	570
522	623	568
523	625	567
524	626	566
525	627	565
526	628	564
527	629	562
528	630	561
529	631	560
530	632	558
531	633	557
532	634	556
533	635	554
534	636	553
535	637	552
536	638	550
537	639	549
538	640	547
539	641	546
540	642	545
541	643	543
542	644	542
543	645	541
544	646	539
545	648	538
546	649	537
547	650	536
548	652	535
549	653	534
